Id,Values_Code,Values_Name,Values_Activity,Values_OperStartdate,Values_State,Date
Sistema,ENOC,ENERGIA Y ALUMBRADO DE COLOMBIA SAS ESP,COMERCIALIZACIÓN,2024-10-01,OPERACION,2026-08-20
Sistema,MARG,SOLAR LAS MARIAS SAS ESP,GENERACIÓN,2024-09-19,OPERACION,2026-08-20
Sistema,CSIC,AIR- E S.A.S. E.S.P. - INTERVENIDO,COMERCIALIZACIÓN,2024-09-13,OPERACION,2026-08-20
Sistema,CSID,AIR- E S.A.S. E.S.P. - INTERVENIDO,DISTRIBUCIÓN,2024-09-13,OPERACION,2026-08-20
Sistema,CSIG,AIR- E S.A.S. E.S.P. - INTERVENIDO,GENERACIÓN,2024-09-13,OPERACION,2026-08-20
Sistema,CORG,PROYECTO SOLAR COROZO SAS ESP,GENERACIÓN,2024-08-29,OPERACION,2026-08-20
Sistema,EXIG,ENERXIA COLOMBIA SAS ESP,GENERACIÓN,2024-08-20,OPERACION,2026-08-20
Sistema,NUEG,NUEVAS ENERGIAS II S.A.S. ESP,GENERACIÓN,2024-08-09,OPERACION,2026-08-20
Sistema,ERCG,ENERGIA RENOVABLE DE COLOMBIA S.A.S E.S.P.,GENERACIÓN,2024-07-31,OPERACION,2026-08-20
Sistema,ETNC,ENERGY TRANSITIONS S.A.S. E.S.P.,COMERCIALIZACIÓN,2024-07-25,OPERACION,2026-08-20
Sistema,TCET,TRANSMISORA COLOMBIANA DE ENERGIA S.A.S. E.S.P.,TRANSPORTE,2024-07-24,OPERACION,2026-08-20
Sistema,RENG,RISARALDA ENERGIA S.A.S. E.S.P.,GENERACIÓN,2024-07-22,OPERACION,2026-08-20
Sistema,ORQG,LA ORQUIDEA SOLAR S.A.S. E.S.P.,GENERACIÓN,2024-07-12,OPERACION,2026-08-20
Sistema,JOAG,GENERADORA SAN JOAQUIN SAS ESP,GENERACIÓN,2024-06-25,OPERACION,2026-08-20
Sistema,FTNG,FOTOVOLTAICO TOLIMA NORTE S.A.S E.S.P,GENERACIÓN,2024-06-24,OPERACION,2026-08-20
Sistema,PSCG,PROYECTO SOLAR CIMITARRA SAS ESP,GENERACIÓN,2024-06-18,OPERACION,2026-08-20
Sistema,SOVG,SOLANO RENOVABLES S.A.S. E.S.P.,GENERACIÓN,2024-06-12,OPERACION,2026-08-20
Sistema,OROG,PARQUE SOLAR PUERTA DE ORO S.A.S. E.S.P.,GENERACIÓN,2024-06-04,OPERACION,2026-08-20
Sistema,SOLG,PARQUE SOLAR COLOMBIA I S.A.S. - E.S.P.,GENERACIÓN,2024-05-29,OPERACION,2026-08-20
Sistema,PSXG,PARQUE SOLAR COLOMBIA X S.A.S. - E.S.P.,GENERACIÓN,2024-05-27,OPERACION,2026-08-20
Sistema,PSVG,PARQUE SOLAR COLOMBIA XIV S.A.S. - E.S.P.,GENERACIÓN,2024-05-27,OPERACION,2026-08-20
Sistema,GREC,GRUPO ENERGÉTICO SA ESP,COMERCIALIZACIÓN,2024-05-15,OPERACION,2026-08-20
Sistema,SDEG,SOLAR EL EDÉN S.A.S. E.S.P.,GENERACIÓN,2024-05-07,OPERACION,2026-08-20
Sistema,CPSG,EL CAMPANO SOLAR S.A.S. E.S.P.,GENERACIÓN,2024-04-30,OPERACION,2026-08-20
Sistema,SHAG,OPERADORA SHANGRI-LA S.A.S E.S.P,GENERACIÓN,2024-04-30,OPERACION,2026-08-20
Sistema,CSMG,SOLAR VILLAVIEJA S.A.S. E.S.P.,GENERACIÓN,2024-04-29,OPERACION,2026-08-20
Sistema,FYRG,FOTOVOLTAICO EL YARUMO SAS ESP,GENERACIÓN,2024-04-29,OPERACION,2026-08-20
Sistema,GWOC,GREENWOOD ENERGY S.A.S. E.S.P,COMERCIALIZACIÓN,2024-04-24,OPERACION,2026-08-20
Sistema,TAMG,TAMARINO COLOMBIA S.A.S. E.S.P.,GENERACIÓN,2024-04-24,OPERACION,2026-08-20
Sistema,DRUG,DRUMMOND POWER S.A.S. E.S.P.,GENERACIÓN,2024-04-09,OPERACION,2026-08-20
Sistema,ELIG,ENERGIA LIMPIA Y EFICIENTE S.A.S ESP,GENERACIÓN,2024-04-08,OPERACION,2026-08-20
Sistema,GBUG,GENERADORA BUENAVISTA S.A.S E.S.P,GENERACIÓN,2024-03-19,OPERACION,2026-08-20
Sistema,DUCC,DUCK ENERGY S.A.S. ESP,COMERCIALIZACIÓN,2024-03-18,OPERACION,2026-08-20
Sistema,ESSC,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,COMERCIALIZACIÓN,2024-02-13,OPERACION,2026-08-20
Sistema,ENZT,ENLAZA GRUPO ENERGIA BOGOTA SAS ESP,TRANSPORTE,2024-01-18,OPERACION,2026-08-20
Sistema,GSAC,GENERSA S.A.S. E.S.P.,COMERCIALIZACIÓN,2024-01-12,OPERACION,2026-08-20
Sistema,TCIG,TERMOCANDELARIA S.A.S. - E.S.P.,GENERACIÓN,2024-01-12,OPERACION,2026-08-20
Sistema,COXG,COX ENERGY COMERCIALIZADORA SAS ESP,GENERACIÓN,2023-12-21,OPERACION,2026-08-20
Sistema,CSSG,AIR- E S.A.S. E.S.P.,GENERACIÓN,2023-12-13,OPERACION,2026-08-20
Sistema,XFRG,ABO WIND RENOVABLES PROYECTO DIECISEIS S.A.S. ESP,GENERACIÓN,2023-12-13,OPERACION,2026-08-20
Sistema,XFRC,ABO WIND RENOVABLES PROYECTO DIECISEIS S.A.S. ESP,COMERCIALIZACIÓN,2023-12-13,OPERACION,2026-08-20
Sistema,CEOG,COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S. ESP,GENERACIÓN,2023-10-25,OPERACION,2026-08-20
Sistema,BIAC,BIA ENERGY S.A.S. E.S.P,COMERCIALIZACIÓN,2023-10-19,OPERACION,2026-08-20
Sistema,EGRG,4E GROUP S.A.S E.S.P.,GENERACIÓN,2023-10-19,OPERACION,2026-08-20
Sistema,EOEG,EOLOS ENERGÍA S.A.S. E.S.P. EN LIQUIDACIÓN,GENERACIÓN,2023-10-11,OPERACION,2026-08-20
Sistema,TCNG,GENERADORA TERMOCENTRO S.A.S. E.S.P.,GENERACIÓN,2023-10-02,OPERACION,2026-08-20
Sistema,CMCD,COMPAÑÍA ELÉCTRICA DEL MAR CARIBE S.A.S. E.S.P,DISTRIBUCIÓN,2023-09-21,OPERACION,2026-08-20
Sistema,PDSG,PARQUE SOLAR PORTON DEL SOL SAS ESP,GENERACIÓN,2023-09-13,INACTIVO,2026-08-20
Sistema,VNRG,VIENTOS DEL NORTE S.A.S. E.S.P. EN LIQUIDACIÓN,GENERACIÓN,2023-09-11,OPERACION,2026-08-20
Sistema,EYCG,ENERGIA Y GAS DE COLOMBIA SAS ESP,GENERACIÓN,2023-08-29,OPERACION,2026-08-20
Sistema,BCCG,BCCY CORDOBA S.A.S. E.S.P.,GENERACIÓN,2023-08-17,OPERACION,2026-08-20
Sistema,VCHG,VACHE S.A.S E.S.P.,GENERACIÓN,2023-08-16,OPERACION,2026-08-20
Sistema,TMMG,TERMO MECHERO MORRO S.A.S E.S.P,GENERACIÓN,2023-06-28,OPERACION,2026-08-20
Sistema,ZONC,ZONERGY SAS ESP,COMERCIALIZACIÓN,2023-06-26,OPERACION,2026-08-20
Sistema,DEGD,DESARROLLO ELECTRICO DEL RIO GUATAPURI SAS ESP,DISTRIBUCIÓN,2023-05-31,OPERACION,2026-08-20
Sistema,RFVG,REFOENERGY VILLANUEVA S.A.S E.S.P.,GENERACIÓN,2023-05-12,OPERACION,2026-08-20
Sistema,ECSD,ENERGIA DE COLOMBIA STR S.A.S. E.S.P.,DISTRIBUCIÓN,2023-05-03,OPERACION,2026-08-20
Sistema,BCCC,BCCY CORDOBA S.A.S. E.S.P.,COMERCIALIZACIÓN,2023-04-25,OPERACION,2026-08-20
Sistema,TESC,TESLA GBC EMPRESA DE SERVICIOS PUBLICOS ESP,COMERCIALIZACIÓN,2023-03-02,INACTIVO,2026-08-20
Sistema,GCYC,GENERADORA CANTAYÚS S.A.S E.S.P,COMERCIALIZACIÓN,2023-03-01,OPERACION,2026-08-20
Sistema,CAFC,COMERCIALIZADORA DEL CAFE S.A.S E.S.P,COMERCIALIZACIÓN,2023-02-23,OPERACION,2026-08-20
Sistema,GASC,GENERARCO S.A.S. E.S.P.,COMERCIALIZACIÓN,2023-02-23,OPERACION,2026-08-20
